	C_01_0w	C_01_4w	C_04_0w	C_04_4w	C_05_0w	C_05_4w	C_06_0w	C_06_4w	C_07_0w	C_07_4w	C_08_0w	C_08_4w	C_12_0w	C_12_4w	C_13_0w	C_13_4w	C_16_0w	C_16_4w	C_19_0w	C_19_4w	C_20_0w	C_20_4w	C_21_0w	C_21_4w	C_23_0w	C_23_4w	C_24_0w	C_24_4w	C_27_0w	C_27_4w	C_30_0w	C_30_4w	C_32_0w	C_32_4w	C_37_0w	C_37_4w	C_38_0w	C_38_4w	C_41_0w	C_41_4w	C_42_0w	C_42_4w	C_43_0w	C_43_4w	C_47_0w	C_47_4w	C_49_0w	C_49_4w	C_52_0w	C_52_4w	C_53_0w	C_53_4w	C_56_0w	C_56_4w	C_57_0w	C_57_4w	C_59_0w	C_59_4w	C_62_0w	C_62_4w	C_63_0w	C_63_4w	C_64_0w	C_64_4w	C_66_0w	C_66_4w	C_67_0w	C_67_4w	C_69_0w	C_69_4w	C_70_0w	C_70_4w	C_75_0w	C_75_4w	C_78_0w	C_78_4w	C_80_0w	C_80_4w	C_82_0w	C_82_4w	T_02_0w	T_02_4w	T_03_0w	T_03_4w	T_09_0w	T_09_4w	T_10_0w	T_10_4w	T_11_0w	T_11_4w	T_14_0w	T_14_4w	T_15_0w	T_15_4w	T_17_0w	T_17_4w	T_18_0w	T_18_4w	T_22_0w	T_22_4w	T_25_0w	T_25_4w	T_26_0w	T_26_4w	T_28_0w	T_28_4w	T_29_0w	T_29_4w	T_31_0w	T_31_4w	T_33_0w	T_33_4w	T_34_0w	T_34_4w	T_35_0w	T_35_4w	T_36_0w	T_36_4w	T_39_0w	T_39_4w	T_40_0w	T_40_4w	T_44_0w	T_44_4w	T_45_0w	T_45_4w	T_50_0w	T_50_4w	T_51_0w	T_51_4w	T_54_0w	T_54_4w	T_55_0w	T_55_4w	T_58_0w	T_58_4w	T_60_0w	T_60_4w	T_65_0w	T_65_4w	T_68_0w	T_68_4w	T_71_0w	T_71_4w	T_72_0w	T_72_4w	T_73_0w	T_73_4w	T_74_0w	T_74_4w	T_76_0w	T_76_4w	T_77_0w	T_77_4w	T_79_0w	T_79_4w	T_85_0w	T_85_4w	T_87_0w	T_87_4w
Propionic acid	58111.8386968161	38727.1678441162	62800.0415873932	78904.5424645037	174308.034116293	114573.161631394	150107.820372661	133561.12059388	59840.9252389165	44552.8896731915	82690.0427145669	66039.1505217853	170680.546514581	192894.727529868	81615.4973049965	111064.207540113	18578.1738307506	18343.1597353498	67390.1616263597	82116.2606986534	182553.096300172	328139.718798494	173368.833091066	145143.37296729	67526.2939749909	44087.4043348023	23155.0914080757	50054.9543214506	115773.252460721	73560.65601604	97881.7479770177	132940.424932877	123544.912150924	189477.748783018	156768.805891387	74873.1855212616	95909.8704390902	61213.4827808286	42913.5719036697	45247.1048899464	51010.0718711929	45866.3995337038	54686.9399321	75203.6105902859	127731.061639927	105230.585970341	34810.7858732642	22488.062366464	73411.7463369146	134899.599181722	229404.6720546	83505.9752491088	178082.20378739	115365.418953565	77176.914625051	74818.2984907657	32714.7041911713	89818.2986250005	188341.328602681	230348.997322318	46909.0430154398	67758.5397000517	90905.7051056625	43990.3442434934	263967.946295219	105648.678859583	44180.4296574991	27069.2818744161	263258.419086918	356862.736265732	38645.433482718	76122.0260517306	89220.6906961625	19739.8658736633	35853.8351215166	65979.2500882834	149741.440906779	173364.447283728	124935.042233821	103266.238181699	17595.5764301294	101375.634609868	58192.3985417015	105727.547386943	18507.8315104306	22349.6243159185	85039.352212883	74277.2621395019	36662.2544694828	169120.933643043	77060.3952529049	53143.826768095	61518.3709552273	53185.963315973	130856.950142143	67413.8112233381	46762.5614247488	137647.345560326	40345.4550175216	203575.088437504	59416.2589728212	44520.4062207469	110819.235108911	141472.356214234	56860.5785916725	59456.8883401742	18257.9527069993	22239.4390325491	125493.759459414	215117.860858102	14545.5687524759	42700.5183448385	45069.5227705869	37684.9789395258	130752.396382729	147774.901045421	50897.3095781997	27219.4443181926	53595.711077737	159462.37240746	44255.6592344193	38181.2680806499	15546.9158316863	44286.6961131983	33945.4237501586	115754.314191369	33020.0732931266	35255.5155875203	43628.8698075542	131533.633896924	59176.229848569	56141.4583354156	162892.287086715	180664.225123626	103692.890467224	138295.439520954	52474.6984901764	120801.069658086	132199.860700188	62935.9801397904	322195.882312818	174572.59857267	237402.539096694	293831.740590706	260525.731141212	137109.753138357	148962.621494893	66491.1507923886	78455.9291264841	89645.7176326644	33585.3823729129	104866.483470872	109451.278200996	171636.974872241	184764.680782431	256950.391461425	105810.182258815	260981.144985157	41939.4131283927	112921.942297048
Butyric acid	51667.3584559269	36326.3397852527	36403.4797640486	67203.1924859037	108629.204626802	70166.180187494	193987.813699884	132059.743747921	73652.3857791533	29696.1446478908	37250.1676476892	34663.9400443805	78367.325021359	55611.0773265802	35979.6458946813	53312.3224688396	17994.0485067184	19119.9768249439	128510.805057852	55083.0992642479	23145.92442822	90963.4444879666	82458.9343090932	57166.4804097179	43897.2162634267	43696.2476136136	9259.4530532138	15725.9827980292	78996.8088386131	52576.2898591577	64057.6490364741	41018.1905423636	54134.7937024518	58955.1827262553	77692.7579330313	58124.4199101999	45966.1517101662	29352.8644810984	29421.1520270475	39688.71869769	46674.462956677	58875.1080006224	56393.8739090513	66955.3340588895	88322.6331262473	57449.1381760128	33509.2267444735	36832.3710130132	69184.1317396694	117783.025435004	79546.8442194842	94825.9414207366	26582.4740516311	35291.2190121242	98222.3984779754	81438.2666693032	34404.8428351385	59483.4315129691	64571.3796949173	84927.3408334133	27242.2988673526	34450.8430032738	72346.353368058	22913.2583172718	161431.566303087	81217.838566341	54631.6403439236	33789.9416819066	16736.0504797905	40777.2414634629	27295.6679629299	45503.96586538	90631.8599137246	19956.829162466	20630.6400895333	43465.4780388052	60125.1396371703	61993.3942578673	30389.524802249	33028.971225056	16657.4104950289	48674.7353274059	27325.3554378529	70386.6220975141	24378.1211998593	28085.6592063889	59452.0545953659	72815.5923898015	21769.7125444275	66194.9703755331	32884.6678675884	34298.6828063736	25810.1779084683	21416.7534746468	123103.261566835	47472.523132836	42792.3914049121	154340.758904651	27742.3584005665	153902.616334222	37699.3837843518	26879.6964471088	67615.9946427596	51761.8656868268	51684.5868382665	56215.1778013575	11155.5019049244	18462.1247521306	60708.9312187214	108075.889670562	5766.94217559209	22406.6105044952	31743.0021412391	25258.1020715747	75035.9728335235	51894.645111482	34946.4264881318	30985.9668825835	57221.5967718841	65250.1114249211	33966.3107283457	24289.205547063	20724.044603534	78737.9015209498	78957.0678909807	110371.755901869	33938.6814591248	43668.5713742466	29950.4427371748	120043.438245207	15121.8542305213	24177.0692573513	83047.9629959961	106494.784334585	53529.9497152596	81327.5765844135	45419.3234205832	94097.2229755676	67311.9364183741	74898.0965016342	84647.8728125484	84570.1854175094	107136.849972704	178266.170219974	65395.7864924205	70752.6867222304	67074.4626978262	82549.8880631271	65213.8047123798	42657.5920790987	22002.1896254065	55199.0643198808	49818.1012643323	91302.572619387	83148.7398934507	92194.3089151218	65980.8325323734	163969.460160949	20713.0097442717	66601.9996096184
Glu	14370.5873979415	11632.492620286	28622.1478021351	14822.3816419101	19992.4281097799	22937.3282313549	11951.3694208012	21262.0899561587	10380.6622624392	11506.1782938089	16529.210091925	15659.0086621276	16726.1836988601	11477.3193306229	17615.6505053257	14190.6471587206	5793.18636219781	7289.74162741218	11602.4802662293	18692.0652805439	6372.71800696945	12643.9780322275	18384.2272223825	18862.0316023659	19744.2049269745	15811.73988719	7224.05497562881	5708.03911845298	33006.2063706034	28020.2453838684	16287.9631767794	17656.0625428904	17502.6554700625	6185.10104787156	17713.4087026913	23391.9902749888	14449.8830715413	17420.2725742765	20268.7179288807	7573.52722943332	17634.0729679392	11924.6622760165	8650.51098344724	11262.268434872	12938.1699365837	20077.7086605705	22295.6941385896	7521.07051198252	19275.1284299033	27948.311144189	8749.41193502121	16137.5820953144	9539.73663752975	9991.05807012002	18545.0606983328	23819.8640591874	12278.2023807147	22348.1196916011	18613.9142296893	16860.0545225309	17717.430699352	9053.78910473133	29922.0087341655	8153.29068465819	18447.4152201089	19907.320154059	21022.5559761463	9836.07326627684	2883.81449157453	7575.27323418907	18162.1925482103	11567.6480389481	23882.9780180124	14619.5373050287	5599.54328082243	19644.1816230604	15094.4014895922	18638.369790758	10772.2449724681	14447.4407788265	5869.44893769166	13111.2782801279	18123.0617815302	10646.4754200797	4531.07396235457	8750.98683981235	20215.2627484344	14999.6001251722	14816.8276974358	18104.8169833365	11370.2853811314	7358.02614122589	16873.201537744	12830.6311424905	19974.591456032	21662.6434626212	15352.3861026175	13540.8313164144	14610.5550294456	16619.7436840407	16511.4870218494	15266.2486138729	23772.9680314622	9691.03294669388	21621.10280779	16483.140229049	5983.2952316044	9278.65703813891	22560.7992666822	28656.6829239081	3646.51653371624	10406.8259415416	12873.7013174084	10214.984003994	23725.1429962109	25561.3755540271	15944.4623113703	8939.53858376528	8264.1161997409	22883.8774907435	3797.40073726149	4456.52045035473	5020.74861385843	5919.76309413151	6369.62376631437	7353.83504591833	19896.8112787646	14478.2828355787	24608.8761183314	31534.2757364989	11421.5136304592	12782.599442189	12925.6420348417	20313.4945684053	15410.2673053046	10528.500462167	14746.1432444387	16027.0834809313	17031.4560682752	8267.63348534017	13870.97127301	16343.2955218411	15284.8288073754	17704.0028503338	29818.9689484176	27469.6792915922	18819.2996773271	9117.89944155883	12744.091461726	15221.3075195115	6187.5036925962	13733.8955758693	17706.9982684315	18906.3262973591	10427.5287960522	15468.007922617	15960.5811521592	9860.6482373146	18685.0696321893	19366.1858169493
Succinic acid	1442.64428094404	1682.95533176958	2338.01521909797	1019.74477076638	2954.84717726529	1078.86610111844	1445.54672299554	704.215328271889	564.622055152308	900.236400024449	1124.03306489255	1837.68491136581	1757.93127873138	745.998534273028	14559.678841246	35415.9643015387	633.665691743794	744.948537175806	13116.0483770039	3045.55112116478	76919.334204595	1722.86488223358	761.490715322314	3169.67380223414	2150.80628993315	964.808961259428	769.002755897832	3009.40463191261	3858.40120584328	2158.49641714593	6098.2202466676	7802.25140138486	4445.63466421592	1331.70958203292	3667.39361736095	3398.26800013367	2450.80823278817	4956.73659899664	933.845700790561	429.416901682179	612.31995396	335.568912205032	611.162873879743	686.768931086214	28239.5196503227	2796.24481913758	916.083267686714	308.649234969419	2528.01923348903	20120.6021786921	4125.16142037516	6403.50730683396	744.951842089978	2528.96454328283	1056.42688346169	1046.68485076922	702.034090426036	2000.14380169076	4731.37401423215	5089.86867257134	2523.92274073205	690.585369333373	1120.34336979728	534.924766702768	5504.17054466402	1735.29960798106	2116.72397092945	976.688841007013	2332.85215310167	962.64649625676	2391.52578566172	377205.178580167	2287.02173560688	1167.2502297481	540.260979125	1328.48351983646	1851.00453500422	1476.57782036163	517.601615371741	1691.58926524727	402.152310056932	1792.35491517609	1794.6755446080101	1599.06155774503	345.633961593571	517.587496480674	228672.855441269	1933.26027803936	1260.40907091422	2065.56154346498	828.44077215591	1034.93066095123	3489.28909330202	2710.58761092587	4542.03683375958	1632.39430389118	1395.25340929566	893.107250431531	1298.99903895798	966.401527825857	1450.88349505019	1660.2263004943	1874.51757435147	5651.39800565918	1293.3106771299	947.072812750849	694.334427667467	1337.8565174199	3080.84725965309	15136.8691212726	375.931117597769	1021.52257171659	909.175031962149	1063.06276695677	1097.32818815294	6000.51698024727	785.719404780071	362.069239003088	604.43888267302	4236.45270912866	376.902820876234	560.473872863356	463.000462404747	307.795457885185	380.969431340829	11736.7386830515	1452.98577785306	606.839791588505	2311.51042818343	2686.82889220431	1124.42084722642	955.624916449689	10969.0375780476	5269.27019669056	2719.89817765967	1432.04801771293	1316.92599677721	1613.62433693234	8671.39783988246	257464.583241951	1623.38824498994	5599.64071722072	2027.41585892801	2279.21594222152	3768.16670323971	2372.78624287623	4266.71108417729	1453.91887950299	805.969521808112	3306.34186345302	1590.3630283242	4792.35342328339	2720.4503840799	110735.903683751	1721.70202832918	2977.79600948636	2009.43979297535	15398.3074802671	2045.73497385491	2007.28540047524
Deoxycholic acid	8129.06908111393	27311.6526914556	10621.4189890809	11042.7029067586	6997.58845617476	14587.0473003999	7156.75394073906	2421.53899613426	10504.8816048994	1463.07844100847	20668.4800669109	12003.5583465089	6977.89711875094	4621.32547313686	1962.80560747655	3194.2118069061	5943.36632564377	4709.58786240414	3513.72449117663	6456.50183215826	5946.26989589599	26485.4018240652	19546.7621883931	19016.2838924294	9313.48939227331	9875.0242135491	55.0759503179331	199.686702946825	18441.9841170965	7500.80541949819	10375.762497302	12357.8276284875	7691.14526615127	2812.36977728941	5198.78503791696	5814.90729099389	5044.76334736966	3601.29094894963	4027.98014009894	2081.67030638934	7385.29576341245	6478.36268026074	4425.17680594004	6486.44512699043	13068.9730088122	18830.1492211353	7542.26252655208	7145.76634510276	11962.9734208254	14509.9425135354	10311.5473343285	14676.0647606474	3914.76961271371	948.965845990062	10335.5522262517	4014.84669201177	13098.594884316	12678.9822504748	7626.47822592979	11153.4592983973	825.79030748205	13965.0993482984	14999.4689716335	13593.2945402236	5142.00876535311	5731.18598961241	2405.09043741343	3015.21645048118	4584.70052015938	4438.02181915736	5488.8073921097	1056.78997641748	1827.93772880017	337.504501065933	9429.54501601926	5030.01566054451	8912.85081735187	13629.3824985282	6903.99059755882	8679.1776051115	12457.5304314387	9444.35886724144	9941.13638952469	8017.34904640003	11906.4349848615	7303.51819025469	1595.85704970862	2329.83744748652	3941.13320468106	8539.21873144712	13409.5371747182	10778.5969700264	8847.405475727	11338.0035810349	14450.0105692169	6200.17968085288	10219.0911048015	12172.570086585	14346.1741631839	26592.781610176	12801.4202820854	7122.86431805331	3042.66650856731	4681.34636183606	5779.2323361763	3960.34486304966	3991.40976544584	4015.35938754411	21572.9361002062	20854.2707846449	6422.44352712311	14205.1223151186	11239.2872392635	5879.2907623346	18603.703532687	26039.4527580579	7568.22050912314	9649.72473982451	5784.61903017135	10562.5782277613	6787.98239559474	2125.82293560644	4096.98888886309	5648.07067954544	4245.64489925294	8067.25497237968	1558.25737080741	420.025501479828	5711.30231210339	5959.79707335665	3432.98020015499	1964.77579004271	11845.9295216692	12720.1351836172	1559.08398000297	2714.9973071095	5209.22149624488	10717.8189555501	8699.60565552461	1877.90486787107	13584.6315008901	5324.82506353947	1423.50052699848	5761.61481072097	11722.7984932162	13063.3434741685	4073.33015649197	8038.1423674064	28103.8142084946	13911.6339739563	12387.8486850136	11602.6398764252	6842.22950795914	2893.20994757706	4220.09101245242	8412.67958326762	13855.3009162021	6908.50911426701	5427.21418334396	3475.21313442517
Cholic acid	2344.11773523319	11373.469646098	1160.51428578846	5877.60431842988	1986.10987099128	584.076350364369	467.688751277951	407.690385236545	547.149148625796	162.225145267791	609.975605087139	283.496742300705	7755.22366070022	3552.38948080532	25259.9631249268	29999.8835139566	428.109968803434	498.253232220391	2852.30549335282	673.339211076246	27899.6844175474	14826.9798854605	1736.66113348151	4543.78597355188	758.064233696968	461.046798502058	4784.36777035329	13207.3485991702	5463.89592445136	3426.39176590598	413.850515572288	771.367187849294	2341.91835865336	1109.07799135994	6400.71784565235	300.194320906254	427.964631057148	960.837473767241	527.255079085217	292.173128380224	8823.50338853241	2743.32694340007	389.466303854393	456.119369817422	6033.45506311069	373.151475629721	1000.50246664295	795.10500883342	425.766433684062	5203.12115659898	1734.18095227175	1673.21319700641	20499.0500428073	16810.3695177481	324.299267691877	222.416904359781	574.991995818768	629.061603887406	473.673611587443	7506.70188533463	9465.26304692504	397.854320612749	17828.4817730449	8384.54537530125	11915.5019642442	5717.28863727968	141.302976695661	155.246098414149	12271.9001479475	44970.7773915766	1838.13744352151	17573.9981175589	728.880495353969	180.990704975079	672.298416786831	1170.94459535973	11506.708129113	866.43347131476	16097.880257312	4132.67013126088	304.809068699886	386.453093519096	510.898300226382	5542.81882778755	301.153751725208	242.330093550214	181.559507698413	220.537151791135	323.657026430552	371.20794093862	15743.8947217432	777.316399523698	887.030210715248	648.638844151402	11273.4677426755	968.341431753384	1543.35374137774	1205.9226488181	611.316864933915	1674.36774295726	855.752463402227	193.984985083158	200.792937224711	456.159016126707	1551.34120336544	682.355722642181	68.3424598108117	51.4417503349235	5886.79987949262	11542.0539605838	361.354442617711	468.320417795432	1414.10523796053	546.35984882996	3199.61122015164	5922.85198623752	377.463037136717	410.343290242096	231.560875006797	487.87795519352	651.53094073562	9689.13068166637	166.556934336927	230.536690582548	262.173184285393	2397.315388911	149.066376388782	66.7829214514224	410.37667287138	3058.1839660866	33555.4462322599	45878.5973066029	7274.75700923171	4118.42408413338	30409.5893406236	29795.4527298436	879.22985980029	4307.90677774606	928.316391982986	5670.12665645769	1352.35287912922	3374.61170641456	352.214931287536	1092.50080345375	16209.4352034591	7670.64521066669	3862.43027036981	233.875641940016	5736.16743406043	7134.08084899416	489.150029949475	612.353999265106	3121.5639688312	12465.9647899352	14448.0833984909	37021.7656759711	509.043030968311	553.861281331764	378.32735206374	353.853233272147
5-Aminovaleric acid	5182.4291126648	4471.82744579891	3960.18619830172	5310.69598250936	1385.42558123973	279.940865295468	655.292536745414	1115.58280578797	280.436415188341	512.48091519791	723.281314050335	785.971953138021	743.742032304547	10137.7459240261	41014.2654096989	20084.0516386261	348.895382320309	339.374666278485	2559.32800843108	644.431942246112	37310.5330949296	1985.19330916765	3613.45394397004	3710.90034530033	459.776719705579	695.128397580262	1904.33966806004	2093.58539541808	2759.95259399887	2393.65469963618	416.305703619672	315.754596108719	222.591121310731	6100.52220791772	1401.10832699638	426.574543511629	516.570027635906	849.773553904632	242.852102053147	0.0	5317.68065248405	304.430275781872	502.598866815245	430.091774554781	4849.89965385759	391.296727150552	539.94122937405	475.128748596004	688.310971733388	1485.16371820495	57659.8957739963	39212.5436021372	4220.63715134882	2761.69072978428	1604.53778055111	614.95288996711	410.51332553609	711.765210407229	2642.89406179255	4010.61838910004	1168.31231709107	2347.3836253755	1931.34390261325	640.499185767863	19641.1191534436	5539.00976463878	792.592164932272	572.124597123724	21360.8726555398	25770.9105603892	4302.73139483267	15906.4485395085	2154.23284383338	487.441838667048	292.704839212656	542.497385117289	980.472330105663	413.04266782894	13424.3210480182	4019.99904980919	0.0	241.32331577192	552.698593862097	4656.66603666722	217.911029977825	267.249082752178	7324.13127760065	4191.13964447953	530.546559959422	328.538148591301	7249.56872732934	1458.23458399594	282.831689534426	261.697919004645	5501.42503641455	1023.49576342497	3123.27331333858	6674.53718410326	482.436258981411	740.25407108054	676.823177838632	0.0	1219.52932299068	770.975123536571	452.351747697295	365.540777151722	1860.95634319298	2349.7328645825	2629.55240272616	7095.06554904926	0.0	0.0	772.631148448127	0.0	1738.22297577217	1241.46373008322	339.479866761057	427.651050508762	312.640489388246	514.349589983689	297.243587860222	2045.20737936436	0.0	275.847555920139	1223.27507618202	2636.2790425138	460.765380400528	315.422963695514	647.27403124482	2700.3636970588	4144.86171663808	1102.99901623134	7688.90854958682	4083.97657276916	25540.5797631429	4554.29424682123	322.223896306884	7520.04238470842	1216.22140849212	13702.6125135919	1794.45038652624	2672.47649617916	1882.35740061015	2213.69019057171	2962.33521172275	1797.63568591799	1090.97364441462	586.812041821482	696.524706680515	2422.42477102278	184.838333474506	380.187251296633	11171.4703028435	8082.25806896176	9655.35862194017	18373.1268257258	761.422561731284	8834.54902340027	496.402569318933	623.743476201368
Asp	3784.69557741439	4653.79321766446	6477.1719339881	5003.74640677204	5070.75725317488	2959.54974612145	1251.40880393053	1459.15831149417	1649.3743632066	1731.91949987437	1845.15869552179	3225.17284391784	2587.43699797642	4470.60726052528	3737.46337848197	3235.26316787384	453.3484411678	739.606096892974	3595.6070131605	4396.84106041749	2015.75422202955	1768.36381811146	2439.64637294968	5010.73781379606	2091.63422625379	1824.2573907834999	1728.47941529776	828.275637188761	8334.71261711455	6034.05089011521	3730.51912511594	4539.18294369705	2593.75280914712	1242.05276718491	5950.98114780612	2934.52601677657	2189.4108827879	3656.94147076608	2844.43327800936	838.565340339422	2168.19283031451	1309.64416712188	1057.78343779594	1345.7295861629	4274.68937873896	4447.47187191672	1450.43269714201	715.298805996508	2279.26774033154	6763.61107860348	4362.98287833755	5271.84150918625	3730.57694523431	2315.43860693259	3532.15731866131	3670.47603185784	1144.01532249206	1876.08431962406	5854.47332884207	6574.27896735164	3838.45893940505	1063.99746635359	7313.2179044933	2345.28339349856	8576.231904941	5383.71256029009	3858.78010731113	2071.01238564312	1140.6578580816	1476.16551302243	2424.70610787583	2875.51919061521	4138.87776332618	1178.21920485257	1040.43132788766	3452.23853223138	2052.45134465216	1809.49929591227	5269.07294892599	4160.97129358134	1209.48315973205	2477.52262558063	4362.0560768712	4910.14405950401	276.856140333683	839.289828347892	6123.58568442133	3508.56112881646	2335.96976172421	3244.66839363993	2591.32835574786	1548.97389671929	5145.08336652226	3224.01248983648	5632.28771791831	2096.9246073433	3854.80900379114	2508.69412536968	1750.64259440497	4246.63665616814	4387.23512704409	3459.19328610135	4021.79976482679	2281.16283822507	5478.32903546696	3800.58366486503	702.796669037415	789.042701933858	4779.85627949303	13394.3159822635	674.718133962723	2316.38532092938	2115.39122016674	1752.63081161857	4690.08739918818	3496.859402953	2843.39058441305	842.867957089368	731.520336300241	3208.7686787777	624.433621550982	927.957242304419	574.052715916103	777.116701010647	930.702737106732	1472.64714472326	2558.60290451841	1718.53989439241	3795.60244133098	8026.71139648639	4374.57432887658	5099.3177675423	3507.31563440033	5672.49892959956	5101.47604198846	5025.73456411362	3221.35930091106	6507.27822779475	5993.12815874281	11380.6283492222	3849.4508507719	5139.04800775364	2039.60922459013	4022.04942534946	7502.33449009022	6167.82351328038	3418.71073277653	1557.45927117748	3637.50410404004	4641.29723626693	1265.39056048162	3207.86631765318	2979.96465353302	4709.80264659688	2519.87526520337	2371.12132572905	4069.37346295664	5614.94311732624	2804.193110195	2532.38464184415
Lys	2245.57253154289	1366.19724646303	2634.5011598257	1291.04723277717	3713.37108920351	4774.77942816777	4030.9985101054	3050.61873074327	1801.86246464074	1811.80458290316	3240.29434893805	2014.58842722903	5265.50312898093	4627.09700760053	3321.67486003201	7946.0821327399	1852.14046859111	1615.6673905096	4870.28813912817	3119.2203359019	1884.72150463601	4253.11783078148	3506.36777424587	2968.49999507633	2143.82372573571	3631.55098361864	1281.6175865350301	1659.98684458229	6953.96174362996	5172.66841334845	4347.48248068898	4975.07178806805	1644.23534243494	3072.01077499377	3427.19844569196	2658.35322132972	3963.50226511149	3238.86082015376	3431.7634848888	1747.53662574924	1904.40320762184	4766.45730660252	1919.09744537438	3400.53863579315	1937.72174496966	3445.84323512626	2229.91344293448	2052.27567975064	2827.20761493297	3301.0935704401	2729.17720233851	3300.68224685049	7204.17294749875	2265.83662487077	2528.44418551857	2988.21880918848	710.007816046486	3754.94622890747	2053.24697152563	2871.49946999373	2661.48514936299	2461.02738060579	3847.47628575924	2898.25511350972	2871.83430130325	1286.19448976838	2842.24875024692	849.501123407166	1351.92299284884	1570.64191528783	2122.06518504835	2675.46232252138	3481.06625948591	1377.01775356294	1965.1283986972	4282.46733226525	3204.1497759201	2905.23871914446	15354.0023640743	4262.02119051993	1789.38426110495	977.463697393163	3719.3886574273	5191.72797846385	1536.68494849669	1974.89053306476	5236.90007512289	4569.05088934488	1755.90798374075	3561.91538880977	1330.99480084167	1704.44484904767	2282.90201073936	3403.02496038941	4332.69774153642	3778.32787705085	2352.02995021898	1772.89925677824	2563.713756248	3804.67799697873	3691.30300572782	2661.4546170611	5752.73267551268	3423.11944866688	4040.79244491269	4305.01179029294	1129.53824401704	1907.67736742811	4262.22374594632	5649.30969408119	1590.68378350533	2874.86759501378	4710.77311269566	3031.38518255822	2137.5458043766	1110.17119365878	4178.79901063502	1943.95472041015	1608.03399357637	2088.34314930194	2057.41782976267	1702.31894277989	1217.52094137036	1913.8315931537	1292.27765006723	4049.62371410267	2319.72031341662	1918.24369772613	2321.53028887599	3939.59927214641	2322.46172924329	2427.91782958344	2019.45401770232	2657.78480571853	3893.4796120319	2683.78584993433	951.234255223834	3157.74788182746	5934.09785175512	4556.73011795745	3246.26326969869	3699.61683155739	2296.10504033516	4132.51471243705	5437.22858395969	8735.54634782684	3431.6889530607	2187.51069709321	3553.75772413469	5509.15141156216	2627.28633965541	3145.04470983578	2951.25694016948	4457.76490439587	2221.08536740303	3204.05236093857	4862.7888374224	4567.35510501652	3116.95633740345	2826.87530309721
Ala	1139.49071352589	936.141947048718	1179.52671134796	2656.27002149432	2393.58384137998	2103.67862958276	1795.16700933435	2101.04107472058	1163.86443261099	957.423978804151	1593.30945833983	1739.69327987162	2530.00220217809	4113.45744445406	10501.0174692363	5566.89318671691	641.488142195751	771.605766922493	3236.85604010371	1892.22075252991	8401.92262631595	2289.41341518799	1999.25249277677	2345.44061999013	1428.96929838687	2451.3255843697	1053.95537856069	1615.92224776853	3963.01895703969	3482.41971062179	2666.24869436222	2180.88554199064	963.920451092828	1506.85054649116	2124.65708524268	1108.86785870059	1626.6146925639	2104.22231134247	1043.87951277489	1033.10902446928	748.959684580824	899.160381281148	1050.98658076362	1238.30169172894	4506.19670972824	1476.83173530831	1212.73389249807	1056.15361973677	1779.02137442663	3662.76035998039	3853.72073669967	1421.47270024248	21066.7087618022	1290.68388319616	1977.69824837936	2187.13640957055	1082.40659274546	2062.24805873053	1653.0179594462	3222.30497616988	750.503489880023	894.063901666174	3774.95013185615	1763.52849879763	11150.5752773035	1244.69069847422	1867.97943020706	1295.29528364562	12218.1563811615	8019.20656477696	1587.86409672721	11566.5598221899	2548.54361981951	772.876950053603	495.702755235007	1600.01625157971	2787.95616071983	2041.58757560653	22886.9518237708	4482.32397917691	547.767246310429	1134.70894566132	1300.10474400254	9403.71176768955	636.545384513083	1189.63993096265	7326.76457654721	1862.57292610208	1412.31450605762	2469.70730799124	1669.14933348306	417.54756465747	1054.4410154978	746.034707964173	5437.39729287869	2974.75534987761	1442.88396767539	1823.65195003018	961.788494306437	2180.65873202552	1249.42055161818	1075.64144827741	2417.69028211469	2005.03841239669	1364.15647024447	1334.51925344979	907.960652493093	1853.03138968853	4272.40175643416	5543.28896420488	362.928029701678	810.195823264895	1754.69025455222	1146.19760799873	3325.96125826553	2680.87599425837	1605.00569611725	935.814191952347	1044.3249584086	2156.50131643733	864.991776529893	628.343573611752	611.002321886463	1418.35831314714	1513.76804899547	8154.02089653653	889.914736983967	1082.50367617117	933.563354851681	3209.05497097781	1430.91032185933	898.726148843519	2798.35960267008	2751.77814668591	2779.92763518928	5403.50691705261	1129.96680657581	5920.57897284186	4006.08252182308	9438.01043553081	2462.68782072761	3217.70326480661	1537.31008977211	2412.65481781397	3359.47383863796	4709.43100887247	1914.11566388533	1034.96293233147	1957.63583958922	7457.88923765397	1412.58950271467	1778.07484306699	2020.38490296903	7328.77976723287	1811.94044727693	8490.23401292674	2091.95371245746	2235.79850781528	1361.45576591246	1680.8359463589
